sub,channel,region,n_valid_s,mi_spindle,miz_spindle,mi_ripple,miz_ripple,ripple_pref_phase
sub-01,LA1-LA2,amygdala,127.2,0.000802293757443947,1.5160459479711916,0.00022920464286208688,1.3639414266838998,2.2689280275926285
sub-01,LA2-LA3,amygdala,127.2,0.0007011975638985519,0.6714705726113965,8.257439640449148e-05,-1.155226640120154,1.9198621771937623
sub-01,LMH1-LMH2,hippocampal,127.2,0.0004958963519394882,0.5390825887081362,9.253347769261762e-05,-1.0908662804580012,2.617993877991494
sub-01,LMH2-LMH3,hippocampal,127.2,0.000481712002486781,0.16867705358137736,0.0001040453805267167,-0.9821362718979536,-2.2689280275926285
sub-02,LPHG1-LPHG2,parahippocampal,154.4,0.0014014004386977699,4.086743360608907,5.3785312644492016e-05,-1.2430681493765459,-0.5235987755982989
sub-02,LPHG2-LPHG3,parahippocampal,154.4,0.0006993210316731093,1.390648029331329,0.00010358161533993058,-0.3848447610914715,-2.6179938779914944
sub-03,RMH1-RMH2,hippocampal,162.8,0.0025634191039139343,6.80872114894345,0.00014828612140751557,0.7900968723689471,1.9198621771937623
sub-03,RMH2-RMH3,hippocampal,162.8,0.0025481852280638904,9.033776772194923,0.00014676538028777716,1.187359198570653,1.2217304763960304
sub-04,LA1-LA2,amygdala,165.5,0.0005928409637893413,1.6818574776086448,0.00026336863333535735,2.5862497130372097,-2.9670597283903604
sub-04,LA2-LA3,amygdala,165.5,0.00035402811495773554,0.13106426976539753,0.00016493488923929167,0.6550787146525567,2.2689280275926285
sub-06,LPHG1-LPHG2,parahippocampal,148.3,0.0004154998236325574,0.6072202594361448,0.00019710805600383475,-0.07884255097250345,2.9670597283903595
sub-06,LPHG2-LPHG3,parahippocampal,148.3,0.0008054442167925917,1.6184818017704552,0.0003142224199802493,2.5415557747780344,2.9670597283903595
sub-06,LA1-LA2,amygdala,148.3,0.0026270125105053808,4.1316175051357,0.00021210670473157,-0.3725617374940589,-0.174532925199433
sub-06,LA2-LA3,amygdala,148.3,0.0005362602995792333,-0.369256213263396,0.0002711047968693632,1.2568669139916036,-0.174532925199433
sub-06,LAH1-LAH2,hippocampal,148.3,0.0016775234781272524,2.438626343156739,0.0015776681406804108,6.409645210571005,2.9670597283903595
sub-06,LAH2-LAH3,hippocampal,148.3,0.002164461926077172,2.6819407357614056,0.001086929278739163,5.103143442972214,2.617993877991494
sub-06,RAH1-RAH2,hippocampal,148.3,0.0003528254433325041,0.03641046123598514,0.00014710282570597812,-0.5046810722483772,2.617993877991494
sub-06,RAH2-RAH3,hippocampal,148.3,0.0004171575876696878,-0.33249507500412495,0.00023824941061231973,0.18622104119706195,2.617993877991494
sub-07,LA1-LA2,amygdala,143.3,0.0015542601718878805,1.542052263910835,0.0003089968556792833,2.342667623653425,-0.5235987755982989
sub-07,LA2-LA3,amygdala,143.3,0.004017256698181274,13.347191792716876,0.00014622175459726367,0.3391100813710325,-0.5235987755982989
sub-07,LEC1-LEC2,entorhinal,143.3,0.0009188302639430869,1.7562764883696123,0.00015327496444399757,-0.1617351574857684,-2.9670597283903604
sub-07,LEC2-LEC3,entorhinal,143.3,0.0004481276330458212,0.07508399963839912,0.00023026011158357065,1.4481352121065543,2.9670597283903595
sub-07,LPHG1-LPHG2,parahippocampal,143.3,0.0006096390447809262,0.21225757472939097,0.0001479638566013208,-0.1019000400799885,-0.174532925199433
sub-07,LPHG2-LPHG3,parahippocampal,143.3,0.0005255604603841883,0.017038593835119013,0.0006085583225948081,7.522131299777362,-0.8726646259971649
sub-10,REC1-REC2,entorhinal,190.2,0.0001545831758772724,-1.1668026833238323,8.726765602057798e-05,-0.4379924246010014,-1.5707963267948966
sub-10,REC2-REC3,entorhinal,190.2,0.0010764428170202853,3.074142354398986,0.0001131026244543476,0.194223536943022,-2.6179938779914944
sub-10,RAH1-RAH2,hippocampal,190.2,0.0008488926929614379,3.489134729841367,8.52139945371948e-05,-0.9235476812924321,2.9670597283903595
sub-10,RAH2-RAH3,hippocampal,190.2,0.0005572436311063167,1.1389739471663032,0.00018682549954640451,1.6091657276797258,-2.6179938779914944
sub-13,RA1-RA2,amygdala,143.9,0.0006345177342150641,0.3008455944862998,0.0002791996404738926,1.745652656169135,-2.2689280275926285
sub-13,RA2-RA3,amygdala,143.9,0.0007632770826489817,0.917684090428869,0.0001735410696685276,-0.46315484192261575,1.9198621771937623
sub-13,RAH1-RAH2,hippocampal,143.9,0.00041184963218506026,-0.4505813974323021,0.0001597861768897119,-0.9540860314760068,0.17453292519943295
sub-13,RAH2-RAH3,hippocampal,143.9,0.0006625698540791465,1.7366571557126742,0.0002944781101629635,0.5992276308423252,1.9198621771937623
sub-14,RA1-RA2,amygdala,168.4,0.0024647152724016543,5.665193737299198,7.404681965137225e-05,-0.8284920111423687,-1.2217304763960306
sub-14,RA2-RA3,amygdala,168.4,0.0010995741457285274,4.081365144015311,0.00019799578972481272,2.604988921826911,2.617993877991494
sub-14,REC1-REC2,entorhinal,168.4,0.0028490295320722264,4.005785631725887,0.0003157771035071939,1.8751686215754362,-1.9198621771937627
sub-14,REC2-REC3,entorhinal,168.4,0.0007479348819120688,1.8257335164578505,0.00011037066529311766,-0.21774806737973967,1.5707963267948968
sub-14,RAH1-RAH2,hippocampal,168.4,0.003182046142181083,6.915523365709762,0.00021430783213012458,1.094287020730256,2.617993877991494
sub-14,RAH2-RAH3,hippocampal,168.4,0.002035755319881695,5.556933181907853,0.00023769691974981125,1.2755298874393395,-1.5707963267948966
sub-16,LMH1-LMH2,hippocampal,149.5,0.0005605440099882207,0.23170587726136416,0.00039838154077099955,1.4184500821261086,-0.5235987755982989
sub-16,LMH2-LMH3,hippocampal,149.5,0.0005983561944175656,0.08129012292302394,0.0004946615024950373,2.7681695136225994,-0.8726646259971649
sub-16,LMH3-LMH4,hippocampal,149.5,0.0004477277758184809,0.061191068899216376,0.0002181744649861507,0.3029522939392736,-1.9198621771937627
sub-16,LMH4-LMH5,hippocampal,149.5,0.0009167172039133331,2.486396830619854,0.0002825050252048931,1.6331274831597176,2.2689280275926285
sub-16,LMH5-LMH6,hippocampal,149.5,0.00024609759130860806,-0.8361082109468986,0.0009425485856803431,11.727030287772603,-2.9670597283903604
sub-16,LMH6-LMH7,hippocampal,149.5,0.00023563364027812337,-1.1059604069836386,0.00012148447100298542,-1.076678804331346,-2.6179938779914944
sub-17,RA1-RA2,amygdala,178.0,0.0002733255009500436,-0.3698061331673867,0.0001330054037412979,0.39142460446044613,2.9670597283903595
sub-17,RA2-RA3,amygdala,178.0,0.0005108463144393064,0.44929116396865576,0.00014445095024143674,1.1281933401707347,-2.9670597283903604
sub-17,RA3-RA4,amygdala,178.0,0.0004944099720627612,0.9042331665072594,6.443893049875065e-05,-1.0589690090520838,-1.9198621771937627
sub-17,RA4-RA5,amygdala,178.0,0.000134747371364497,-1.2159001384896988,6.873774319528487e-05,-1.0015323533402778,0.17453292519943295
sub-17,RA5-RA6,amygdala,178.0,0.00029852792871778544,-0.22387356272218006,0.00013887097610429137,0.8537770164355499,-0.5235987755982989
sub-17,RA6-RA7,amygdala,178.0,0.0006037847184022706,1.7210800476291883,0.00023370640960130885,3.1367578372349403,0.8726646259971649
sub-17,RA7-RA8,amygdala,178.0,0.0013446659778387235,5.857064791897966,0.00041297600692636834,7.712382376923302,-1.9198621771937627
sub-17,RAH1-RAH2,hippocampal,178.0,0.003987108816754754,6.699652284087074,0.00020383955810567917,1.0843280450220463,-2.9670597283903604
sub-17,RAH2-RAH3,hippocampal,178.0,0.001407436908209842,1.8569410294235955,0.00012451704106943994,-0.27571646562692614,1.5707963267948968
sub-17,RAH3-RAH4,hippocampal,178.0,0.00125280339623735,1.6501839734177872,9.872083086682624e-05,-0.17837582304127833,-1.2217304763960306
sub-17,RAH4-RAH5,hippocampal,178.0,0.0001818466325786118,-1.2172285030692402,0.00012701313294360747,0.4821761389241585,-2.6179938779914944
sub-17,RAH5-RAH6,hippocampal,178.0,0.0005231486687546545,1.095980339902566,0.00012143259471669731,0.6851458133460037,1.9198621771937623
sub-17,RAH6-RAH7,hippocampal,178.0,0.0004165714161363027,0.9205257478304633,7.504880813156907e-05,-0.6156763396160473,1.2217304763960304
sub-17,REC1-REC2,entorhinal,178.0,0.001479084192411151,6.212236586693329,0.0002393487818081037,3.39094746956651,1.5707963267948968
sub-17,REC2-REC3,entorhinal,178.0,0.00031554776602608393,-0.04837651953299845,0.00010435848779344032,-0.2916076076702236,-0.5235987755982989
sub-17,REC3-REC4,entorhinal,178.0,0.0003633690740932623,0.015933100598765983,0.00025530915504424844,2.7721226729718578,-1.9198621771937627
sub-17,REC4-REC5,entorhinal,178.0,0.0004120125924619334,0.8616585693029385,0.00025887621134137995,3.3602202086536352,1.2217304763960304
sub-17,REC5-REC6,entorhinal,178.0,0.0008106088194909241,2.1095916598077076,0.00012220579029272003,0.6030336611389181,-1.9198621771937627
sub-17,REC6-REC7,entorhinal,178.0,0.0013994945551270939,4.303735024277515,0.00014579069705739244,0.8727542165981751,-1.9198621771937627
sub-18,RAH1-RAH2,hippocampal,175.0,0.001576616273529186,3.2501592210251373,0.0006852458512688177,2.3428993043409,-2.2689280275926285
sub-18,RAH2-RAH3,hippocampal,175.0,0.000954110449334941,3.4514917978451307,0.0011025866748173834,5.501706891811306,-2.2689280275926285
sub-18,RAH3-RAH4,hippocampal,175.0,0.00022172703701377143,-0.8658379526159777,0.00030493773080596904,5.011591811485942,-0.174532925199433
sub-18,RAH4-RAH5,hippocampal,175.0,0.00037902079321689265,-0.13300021938390041,0.00013013637987095938,0.9361668340725742,-0.5235987755982989
sub-18,RAH5-RAH6,hippocampal,175.0,0.0009926682554682893,2.306599219498303,0.00020535437587065964,1.867907867942219,-0.8726646259971649
sub-18,RAH6-RAH7,hippocampal,175.0,0.002287222008046338,-0.43576869281619046,0.0011647406607780174,1.1421755555726565,-0.5235987755982989
sub-18,RPHG1-RPHG2,parahippocampal,175.0,0.00027507577410470515,-1.03320343068832,0.0004942387746554951,0.8123333497231704,2.9670597283903595
sub-18,RPHG2-RPHG3,parahippocampal,175.0,0.0028778712176150195,7.058951518769363,0.0010016810724365985,5.948184203277847,-2.6179938779914944
sub-18,RPHG3-RPHG4,parahippocampal,175.0,0.003228787829076588,5.485227926525124,0.0022147381572634336,2.861517587698442,0.8726646259971649
sub-18,RPHG4-RPHG5,parahippocampal,175.0,0.0053169025667018695,0.10592385695293006,0.046213244547194006,0.4251191531983055,0.8726646259971649
sub-18,RPHG5-RPHG6,parahippocampal,175.0,0.004388995715903959,1.4061234773853206,0.012020943998069833,1.8160128868723113,-1.2217304763960306
sub-18,RPHG6-RPHG7,parahippocampal,175.0,0.006067386662003241,0.8236047613562839,0.007627516395264191,0.21657582615519613,-2.2689280275926285
sub-22,LA1-LA2,amygdala,288.0,0.0007874671952299838,4.237997610828961,0.00021749369385488772,5.960724126437216,0.8726646259971649
sub-22,LA2-LA3,amygdala,288.0,0.000358867958515579,1.0146765028921734,5.406039800418789e-05,-0.4248445360168805,-1.2217304763960306
sub-22,LA3-LA4,amygdala,288.0,0.0005057722537095314,2.4297650669097632,6.338572607328441e-05,-0.44479479846178743,-0.8726646259971649
sub-22,LA4-LA5,amygdala,288.0,0.00017327477158300165,-0.7727894034993738,9.595449542126662e-05,0.23624793400198033,2.617993877991494
sub-22,LA5-LA6,amygdala,288.0,0.0004017388764731031,1.10271370324471,0.000134015684698721,2.3011272794547337,-0.5235987755982989
sub-22,LA6-LA7,amygdala,288.0,0.0009185363652658722,5.094848746709933,0.00029627818156491536,1.2253131360127159,-0.174532925199433
sub-22,LEC1-LEC2,entorhinal,288.0,0.004613934163592201,20.841621380847847,0.0001304736274172444,2.192247971522863,1.9198621771937623
sub-22,LEC2-LEC3,entorhinal,288.0,0.0002134652944007071,0.23376029847129712,0.00011088743960406367,1.6525505819276625,2.617993877991494
sub-22,LEC3-LEC4,entorhinal,288.0,0.00022653574002365242,0.09733799867350004,0.00013520470951294757,2.43573540003985,0.5235987755982989
sub-22,LEC4-LEC5,entorhinal,288.0,0.0001724236818973708,-0.511215836264503,0.00014793255744617083,3.2954753713558658,0.5235987755982989
sub-22,LEC5-LEC6,entorhinal,288.0,0.0005186327282423524,2.1344432795849815,0.00013221372021880124,1.9625198067377938,0.17453292519943295
sub-22,LEC6-LEC7,entorhinal,288.0,0.0002455719359018159,0.018234219741640693,0.00013130040040782755,1.9214444351841071,0.5235987755982989
sub-22,LEC7-LEC8,entorhinal,288.0,0.000461453437543276,1.550355104904207,0.00021017098594267456,2.0342228021511843,-2.9670597283903604
sub-22,LMH1-LMH2,hippocampal,288.0,0.0008589176212862441,2.778442469087031,0.0007904027559107419,15.166342181804252,-0.174532925199433
sub-22,LMH2-LMH3,hippocampal,288.0,0.00019682147446231367,0.04376327540228129,0.0005394046619762387,12.171269017972454,-2.9670597283903604
sub-22,LMH3-LMH4,hippocampal,288.0,0.0003741734109359776,1.3383695661498674,0.00012176427685417021,1.8189812837982937,-2.9670597283903604
sub-22,LMH4-LMH5,hippocampal,288.0,0.0008847924169842418,3.267863518919818,6.219267065408353e-05,-0.1900058439720862,-0.5235987755982989
sub-22,LMH5-LMH6,hippocampal,288.0,0.0005982240694043004,2.2240516020943324,3.921173021381899e-05,-1.2974670633592238,0.5235987755982989
sub-22,LMH6-LMH7,hippocampal,288.0,0.00040066182270235743,1.2187821131574106,0.00015574419324795478,1.230658440933152,-1.9198621771937627
sub-22,LMH7-LMH8,hippocampal,288.0,0.00029311168684187405,0.23709771802566038,0.0007138924624565553,-0.5863420486861934,0.8726646259971649
sub-24,RA1-RA2,amygdala,177.0,0.0007894625457429409,2.5803621678703292,0.00020731943447746954,2.175578987148684,-2.2689280275926285
sub-24,RA2-RA3,amygdala,177.0,0.0004168206692545851,0.5503934063464642,7.015761045734636e-05,-0.8359545525085255,-0.8726646259971649
sub-24,RA3-RA4,amygdala,177.0,0.0005845595179929421,2.2183740291563616,0.00010561480191527703,0.3167655699695537,-1.2217304763960306
sub-24,RA4-RA5,amygdala,177.0,0.00028861935478544445,-0.012742610681246158,0.00014309378007513855,0.5760229180670482,-2.6179938779914944
sub-24,RA5-RA6,amygdala,177.0,0.00022302022679207572,-0.5221932323306333,0.0001413374790132161,0.7660345185139856,0.8726646259971649
sub-24,RA6-RA7,amygdala,177.0,0.00033689124632943403,0.08604302890861636,0.00019843984531269169,3.0042116406039736,-0.174532925199433
sub-24,RA7-RA8,amygdala,177.0,0.0006529603730505817,3.1094408254706125,0.00015366286381767033,1.0807982371630322,-2.9670597283903604
sub-24,RAH1-RAH2,hippocampal,177.0,0.0003046856468139418,-0.06948553457869247,0.00027130413030925524,2.65545697645434,-0.174532925199433
sub-24,RAH2-RAH3,hippocampal,177.0,0.0010968420374710007,3.0961454975709484,0.00022524703441343207,1.8415113777895487,0.8726646259971649
sub-24,RAH3-RAH4,hippocampal,177.0,0.0002801424109113733,-0.29336052224226994,8.714986889526855e-05,-0.5656666463454919,2.9670597283903595
sub-24,RAH4-RAH5,hippocampal,177.0,0.00031332887250115957,0.030220781751610533,9.728662903229991e-05,-0.1543527095800629,-0.8726646259971649
sub-24,RAH5-RAH6,hippocampal,177.0,0.00019897675605015956,-0.896567826321577,6.778450582546586e-05,-0.7848179091663283,-2.9670597283903604
sub-24,RAH6-RAH7,hippocampal,177.0,0.00022745251426770712,-0.4245618418593152,8.262067182239435e-05,-0.5648306487017445,-0.5235987755982989
sub-24,RAH7-RAH8,hippocampal,177.0,0.0006009173623574903,2.058259715097867,0.00010471071384507075,-0.05741401086620165,-2.6179938779914944
sub-25,LAH2-LAH3,hippocampal,235.9,0.0021620274384402238,5.209300301723734,0.00018712540557465257,0.3250971582883533,2.2689280275926285
sub-25,LAH3-LAH4,hippocampal,235.9,0.004056224162505752,9.118249408947612,0.0008202821436010832,4.4069087016806545,1.5707963267948968
sub-25,LAH4-LAH5,hippocampal,235.9,0.001951101355002447,2.8287610431669274,0.00011236022687258337,0.24374876004433263,0.5235987755982989
sub-25,LAH5-LAH6,hippocampal,235.9,0.0010164122590952346,2.0225971173295365,6.508441939253917e-05,-0.5864240131484085,-2.2689280275926285
sub-25,LAH6-LAH7,hippocampal,235.9,0.000237161280940579,-0.6946911552892849,8.44951750945127e-05,0.3163288628072273,-2.9670597283903604
sub-25,LAH7-LAH8,hippocampal,235.9,0.00018698026488668849,-0.6917382494848403,7.565795447535534e-05,0.14307206752550616,-0.5235987755982989
sub-25,LPHG1-LPHG2,parahippocampal,235.9,0.0002307738854974625,-0.15753775890438826,0.00014514355039068645,1.507946896645205,-0.174532925199433
