metric,A,B,meanA,meanB,p
slow_power,hippocampal,parahippocampal,0.7535653813502715,0.804332074690447,0.029674850269001938
slow_power,hippocampal,temporal_neocortex,0.7535653813502715,0.8354774034949445,0.00011498641236473328
slow_power,parahippocampal,temporal_neocortex,0.804332074690447,0.8354774034949445,0.16291026094430505
slow_power,entorhinal,hippocampal,0.7393441318402526,0.7535653813502715,0.3964015648409933
slow_power,entorhinal,parahippocampal,0.7393441318402526,0.804332074690447,0.49529644047640675
slow_power,entorhinal,temporal_neocortex,0.7393441318402526,0.8354774034949445,0.09474417129745019
mi_z,hippocampal,parahippocampal,0.41168550197992293,0.1991516303961331,0.48774843596278705
mi_z,hippocampal,temporal_neocortex,0.41168550197992293,0.45483428933115055,0.45116323265672786
mi_z,parahippocampal,temporal_neocortex,0.1991516303961331,0.45483428933115055,0.19320291652143473
mi_z,entorhinal,hippocampal,0.04792631974038703,0.41168550197992293,0.23617840710814808
mi_z,entorhinal,parahippocampal,0.04792631974038703,0.1991516303961331,0.5255486351086729
mi_z,entorhinal,temporal_neocortex,0.04792631974038703,0.45483428933115055,0.1327339621093578
