channel,spindle,ripple
LA1-2,0.14474444818869153,0.09993946193428242
LA2-3,0.14835627663949089,0.213264267297557
LA3-4,0.08593583534270915,0.08765687390134885
LA4-5,0.03996712958413416,0.01875902051450887
LA5-6,0.07095236550192713,0.028509936937990372
LA6-7,0.15348464008342277,0.009728618533382782
LA7-8,0.05248603281344917,0.039461442658650994
LB1-2,0.08667762737782575,0.018822459711176666
LB2-3,0.057409073261762165,0.0007568376768340437
LB3-4,-0.01707571678820557,0.013912510651357563
LB4-5,0.040410542590885536,0.013592424449827447
LB5-6,0.12421560626339948,0.2068342846084876
LB6-7,0.21717457759492276,0.1383053226133584
LB7-8,0.09408315204774502,0.09845920232019544
LC1-2,0.046926202676923545,0.06268978705837122
LC2-3,0.08565401182195642,0.04958231814861891
LC3-4,0.08557183545013719,0.037941141082683885
LC4-5,0.0157965183485393,0.03397027742977602
LC5-6,0.02156260328179747,0.025738469222422046
LC6-7,0.07661738771320896,0.021941974718796855
LC7-8,0.175120212333669,0.08100107008526754
LH1-2,0.06689607020997401,0.012333496694823084
LH2-3,0.11614459384020728,0.010409061877262987
LH3-4,0.19324673456335345,0.02045827230668789
LH4-5,0.19189729386725318,0.013750308702346989
LH5-6,0.0913203373948362,0.0228852892490282
LH6-7,0.09499241889757123,0.02041102420683691
LH7-8,0.10725143637027346,0.04020243733068692
