region,event,n,mrl,rayleigh_p,pref_phase_deg
hippocampal,ripple,10118,0.017122636636487245,0.05148249223143087,-77.40551952593576
hippocampal,fr,2541,0.05486406552336831,0.0004746956889592781,-89.07730346162458
entorhinal,ripple,847,0.2041414300606637,3.0577477109376976e-16,-11.083792755679655
entorhinal,fr,258,0.10819955640692,0.048633910654360867,-3.8582333831819953
amygdala,ripple,4292,0.08440495133391898,4.987350501400519e-14,17.42037612078898
amygdala,fr,1735,0.08497114040388987,3.558937937084014e-06,28.054546688043963
